iter	Passed	Remaining
0	143	143208
1	144	72342
2	146	48670
3	147	36843
4	149	29754
5	151	25044
6	152	21701
7	154	19212
8	156	17230
9	157	15641
10	159	14340
11	160	13254
12	162	12337
13	164	11555
14	165	10879
15	167	10308
16	169	9792
17	171	9330
18	172	8918
19	174	8548
20	176	8215
21	177	7911
22	179	7633
23	181	7383
24	183	7160
25	185	6935
26	186	6727
27	188	6537
28	189	6358
29	191	6191
30	193	6036
31	194	5890
32	196	5756
33	198	5638
34	200	5517
35	201	5407
36	203	5299
37	205	5200
38	207	5101
39	208	5006
40	210	4915
41	211	4833
42	213	4754
43	215	4677
44	216	4602
45	218	4529
46	219	4459
47	221	4392
48	223	4328
49	224	4268
50	226	4214
51	228	4160
52	229	4108
53	231	4057
54	233	4008
55	234	3958
56	236	3912
57	238	3869
58	239	3826
59	241	3787
60	243	3746
61	245	3707
62	246	3670
63	248	3632
64	250	3596
65	251	3562
66	253	3529
67	255	3496
68	256	3467
69	258	3434
70	260	3403
71	261	3372
72	263	3343
73	264	3313
74	266	3285
75	268	3260
76	269	3233
77	271	3208
78	273	3184
79	274	3158
80	276	3134
81	277	3111
82	278	3079
83	280	3057
84	282	3035
85	283	3013
86	285	2993
87	287	2975
88	288	2956
89	290	2936
90	292	2917
91	293	2898
92	295	2879
93	296	2860
94	298	2843
95	300	2825
96	301	2809
97	303	2792
98	304	2775
99	306	2759
100	308	2743
101	309	2727
102	311	2711
103	313	2696
104	314	2682
105	316	2668
106	318	2657
107	319	2642
108	321	2628
109	323	2614
110	324	2601
111	326	2587
112	327	2574
113	329	2561
114	331	2548
115	332	2537
116	334	2521
117	335	2509
118	337	2496
119	338	2484
120	340	2472
121	341	2458
122	343	2446
123	344	2435
124	346	2424
125	348	2414
126	349	2400
127	350	2390
128	352	2380
129	354	2369
130	355	2359
131	357	2349
132	358	2339
133	360	2329
134	362	2321
135	364	2312
136	365	2302
137	367	2293
138	368	2284
139	370	2275
140	372	2266
141	373	2254
142	374	2247
143	376	2239
144	379	2236
145	380	2228
146	382	2221
147	384	2214
148	386	2206
149	387	2198
150	389	2189
151	391	2181
152	392	2174
153	394	2167
154	396	2159
155	397	2152
156	399	2145
157	401	2137
158	402	2130
159	404	2122
160	405	2111
161	406	2104
162	408	2097
163	410	2090
164	411	2083
165	413	2076
166	414	2069
167	416	2062
168	418	2055
169	419	2048
170	421	2042
171	422	2035
172	424	2029
173	426	2022
174	427	2016
175	429	2009
176	430	2003
177	432	1996
178	433	1990
179	435	1984
180	437	1978
181	438	1972
182	440	1967
183	442	1961
184	443	1955
185	445	1949
186	446	1943
187	448	1937
188	450	1931
189	451	1925
190	453	1919
191	455	1915
192	456	1909
193	458	1904
194	460	1899
195	461	1893
196	463	1888
197	464	1882
198	466	1877
199	467	1871
200	469	1866
201	471	1861
202	472	1856
203	474	1851
204	475	1845
205	477	1840
206	479	1835
207	480	1830
208	482	1825
209	484	1820
210	486	1818
211	487	1813
212	489	1808
213	491	1803
214	492	1799
215	494	1794
216	496	1790
217	497	1785
218	499	1780
219	501	1776
220	502	1772
221	504	1768
222	506	1764
223	508	1759
224	509	1755
225	511	1751
226	513	1746
227	514	1742
228	516	1738
229	518	1735
230	519	1730
231	521	1726
232	523	1722
233	524	1717
234	526	1713
235	528	1709
236	529	1705
237	531	1702
238	533	1697
239	534	1693
240	536	1689
